tweet_text,prediction
"RT @thinkprogress: Activists confront Florida attorney general at Mr. Rogers movie, ask what he’d think of her values https://t.co/fegtclvV…",2.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
RT @davechensky: AMC announces its MoviePass competitor. $20/month for three movies per week. Big advantages vs MoviePass: -You can see mov…,4.0
"RT @Lexual__: In 1946, Disney released a very racist movie names Song of The South. It's locked in the Disney vault but they still use the…",0.0
RT @jakesaysyousuck: The legacy of Kim Kardashian’s nude photos are inadvertently responsible for the title of a new Disney movie called “R…,2.0
"RT @NewTSage: Any cartoon or movie we grew up watching \"underrated\" on here https://t.co/w69gou4RM7",2.0
"RT @DineshDSouza: I can promise you the same with the new movie “Death of a Nation,” out in 1,000 theaters nationwide on August 3 https://t…",2.0
"RT @javhdphotos: JUY-526 (Censored) ✨Download full movie 3,5gb✨ 👉https://t.co/3e9hiWXTeL https://t.co/x1N2gSmsta",2.0
"@ULTIMATERPE sleep, eat, watching movies, crying and repeat/?",4.0
I miss movie afternoons by myself,2.0
I Saw Incredibles 2 last night n This Part Of The Movie Threw Me Completely Off. 🧐 https://t.co/b2P13App9G,2.0
Watched the #fate stay night heavens feel movie part 1 today !! Yes my first anime movie in a cinema !! 😆😁 Was really good and exciting !!,4.0
"RT @hickorymtnman: YOU DECIDE WHAT BEAUTY IS  Just be whatever God made you. Get comfortable with it and be the best, happiest person you c…",4.0
RT @officialjaden: Skate Kitchen The Movie Coming Soon https://t.co/Olyxl3onbQ,2.0
@danjdob @OfficialBeeRay @Sethrogen I've seen republicans who have made lists of actors/actresses/directors they're boycotting for political reasons. Let's just say they're going to end up with nothing to watch. (They also boycotted Black Panther and that doesn't seem to have hurt the movie.),0.0
RT @VirtuaIKirito: AGGO live action movie looking legit 🤤👌🏻 https://t.co/cMdpnv9G8A,2.0
"RT @BullyHunter_47: @AussieSamurai @DDechosen @geekgirldiva Calling the fans man babies.... yup, that will prove your point. Not like the f…",0.0
"RT @L0B033: No reboot! We want Xena!  @RealLucyLawless &amp; Renee O' Connor need 2 return 4 a #XenaRevival  A S7 or Xena Movie Original Cast,…",4.0
RT @joel__xx: I don’t give a fuck... Juice is one of the best crime movies ever made.   Ernest R. Dickerson put that shit on film... and he…,0.0
@insaneafridi Movie,2.0
"@callmeNdumi He definitely was trash for that act but they were able to redeem his character later in the movie, dude NEVER did that shit again. It's crazy that she became a rock towards him and he suddenly loved her the way he should have, which he should have done vele.",0.0
"@legendofziggy I’ve seen some movies where the English voice acting is the same/better, but for me personally I want to watch shows/movies as they were originally made",4.0
RT @UnknownKongYT: i just remembered this chinese bootleg dvd of the simpsons movie with the greatest dvd menu of all time and i can't stop…,2.0
@xanderscores Excellent movie. Excellent score. Watched the recording session. A delight.,2.0
Yea I’m definitely gonna check this out https://t.co/pZEvfJnb9w,0.0
This record rules. https://t.co/jwYdstAPXP,2.0
"@MachSabre I've got Armada Unicron too buried away at my old place. And thanks to a friend giving me a big box o'toys, I've been able to complete my Movie cast save for an extra Scourge. I've even got an extra Cyclonus for Armada.",4.0
"RT @DCFilmsHub: '#TheFlash' Movie Set For '2020' Release \"If All Goes Well\" https://t.co/qqaVbiUPoL https://t.co/3SQI3n4Wg1",4.0
Remember when @ThatKevinSmith first made a #Yondu movie and find out he is actually blue from eating #Brodie's chocolate covered pretzels? https://t.co/U0lJbGP3Ni,2.0
It’ll be the most different but we can’t say the best till it actually come out . https://t.co/yRQDDjIhGr,0.0
RT @woIvern: “i haven’t seen the falcon movie ... oh wait there isn’t one” THE DEVIL WORKS HARD BUT TOM HOLLAND WORKS HARDER https://t.co/k…,2.0
@brutalmoose There's a cookbook called Dark Side of the Spoon that ithink has weird rock themed recipes and another one called Eat What You Watch: A Cookbook for Movie Lovers so maybe you could do a movie/music themed one?,4.0
9. have you traveled outside of your home country? 10. do you wear glasses? 11. who was your first crush? 12. what’s your favorite social media app? 13. do you have any siblings? 14. where do you want to travel? 15. what’s your favorite movie/tv show? 16. who’s your best friend?,4.0
"RT @ShoyebK26396681: #26GoldenYearsOfKingKhan Happiness Is Being Crazy FOR Each And Every Look,Movie, Endorsement,Speech,Song OF SRK ♥️😍",2.0
@_Eveteaser awesome movie,4.0
RT @matigary: Whoever arranged in-flight WiFi at 34000 feet in the sky is a genius. Very good connection and lots of data especially if you…,4.0
RT @gothsloki: fuck my ratio i want new mutuals gain tweet! so rt if you stan  - the whole mcu - tom hiddleston - loki - tom oohwooh hiddle…,4.0
Special Delivery - Jojo Kiss  https://t.co/jqIbtQEBwf   monstercock beach movies www phonerotica mobile video com cum for tight fake doll gigantiche boobs lily monstersofcock anal pics movies youpornhighdef black cock slut charmane star,2.0
RT @jav_clip: Asian Nice Body  Watch Full Movies ==&gt; https://t.co/asj7Fl5c7O https://t.co/WnzTvMCk0M,2.0
RT @iGitz_: Kung Fu Movies are lies. Japan players ain't athletic at all 😂😂😂 #JPNSEN,4.0
RT @lancemcIains: me: i’m cantkeeptheirdamnmoutshut sexual. i’m attracted to people who can’t keep their mouth shut Exclusively   jeremy an…,0.0
"RT @VAWSE: We all gotta go see this movie on July 20. Might have the same impact as \"Get Out\" or \"Fruitvale Station\" 🔥🔥🔥 Blindspotting (201…",2.0
"Visit #CallicoonNY - one of the happening river towns in the #SullivanCatskills 🌅 Take a boat on the river, shop Main Street, have a meal, grab a coffee, go to the movies or meander through the farm market. https://t.co/syE36biuss https://t.co/BKq62Kv8ZK",4.0
RT @RachelNDugas: -emperor’s new groove -emperor’s new groove -emperor’s new groove -emperor’s new groove -emperor’s new groove https://t.c…,2.0
"RT @hickorymtnman: YOU DECIDE WHAT BEAUTY IS  Just be whatever God made you. Get comfortable with it and be the best, happiest person you c…",4.0
RT @danctheduck: Just saw the wonderful Mr. Rogers movie. How can we be the Mr. Rogers of video games?   Ex: Dedicate ourselves to making m…,2.0
"RT @JustJared: NBC canceled #Timeless, but there may be a movie! https://t.co/gI1ifEkwtP",2.0
RT @rachel_china: For sure Kiko will miss this baby girl! Whatta ball of sunshine! He’s taking a vid first to K then she saw it and Kik sud…,0.0
RT @VijayUAEfans: Genuine Review? Which movie deserves National Award?  RT- #Vivegam  Fav- #Mersal  Open challenge to aamaiss ( Kind req to…,2.0
"RT @thinkprogress: Activists confront Florida attorney general at Mr. Rogers movie, ask what he’d think of her values https://t.co/fegtclvV…",2.0
"RT @ChiggityChives: The Devil works hard, but Tom Holland works harder. https://t.co/otv594l9bT",4.0
"RT @ItsTheRealBizZ: If He pay RENT, you paying utilities If He wash dishes, you cooking If He pay for movies, you buying snacks If He give…",4.0
RT @actor_jayamravi: Thank uuuuu Akka 🙏🏼❤️ https://t.co/O4m0uP4hKv,2.0
"RT @SRKsCombatant: Every Actor Starts Their Career With Masala / Action Etc Etc Movie, This Fucking GOAT Started His Career With Thriller G…",2.0
RT @UCJUNILORIN: ANTICIPATE UCJ PRESS WEEK. @theprincelyx   ✅ Excursion  ✅  Movie night   ✅ launch  ✅  match ✅  symposium ✅  Dinner and awa…,2.0
RT @DMajesticSam: Not just the biggest movie star but also a wonderful human being!! @iamsrk @SRKFCJaipur #26GoldenYearsOfKingKhan https://…,2.0
RT @StarWarsNewsNet: Rumor: The Obi-Wan Kenobi Film May be the First Star Wars Movie for Disney's Streaming Platform - #ObiWanKenobi #StarW…,2.0
I will pray for 90 days for you to Shut Up https://t.co/WzaKIehoLL,2.0
@ObiLeonardo Why even compare...Last Airbender was one of  the best ever series I ever watched....too bad they fucked up the movie,0.0
"RT @filmgob: \"the first Spider-Man movie on 13 Years to get certified fresh on Rotten Tomatoes\" 🤣 https://t.co/BnIbDAnnf4",2.0
"@smashingpaps @kreuzberged @allhailtwit I am off, too. 😉 Watching a movie, \"Lawless\".",4.0
"@DStvCare  I have issues renting a movie on box office, please assist. Thank you",2.0
"RT @scolo: I think we can all use a reminder of what it means to be a kind, decent person &amp; how to properly treat children &amp; each other. PL…",0.0
Free Movies!  Best Exploitation movie site on youtube! https://t.co/zsbNhKDXds …   #horror #grindhouse #exploitationmovie #drivein #cult #obscure #trash #sleaze #scifi #shorts #movies #freemovies #films #cinema https://t.co/icj10YSL9K,2.0
@liarygm wanna watch the movie tae was watching,2.0
RT @FreddyInSpace: The Indoraptor is so legit scary that I genuinely wonder if kids will even want to play with a toy of him. He's filmed &amp;…,0.0
"@Neuro2343 he did! &amp; they sound like great stories- as movies. HAHAHHAHA. jk jk. but idk, i’m so conflicted because he’s so excited about this, and i’m like “a book? what is that? what do you do with it? do you sit on it?” haha.",0.0
"#20: 558,609 views Disney Movie Food Challenge w/ Jon Cozart &amp; Noah Cyrus https://t.co/dbRuzLFJYV",2.0
"RT @ChiggityChives: The Devil works hard, but Tom Holland works harder. https://t.co/otv594l9bT",4.0
"RT @HeadlessCritic: \"The look, sound, acting and even special effects are studio flawless and done so on a budget.\" \"Writers, directors and…",0.0
"RT @WestworldGifs: Fun fact: The #Westworld season 2 finale has an extended run time of 90 minutes, that's 2 minutes longer than the origin…",2.0
RT @LoveAustinWolf: https://t.co/PWfKE4R6sA check out my latest post on my @4my_fans page #4myfans fucking a hot boy in the bathroom #123 h…,0.0
latest nollywood movies 2018 nigerian full movies 2018 An assignment is given to two young ladies to steal... https://t.co/n92j8zrjBy,4.0
"RT @evelmiina: #HowToTrainYourDragon Toothless. I've watched the first two movies multiple times, so needless to say I look forward to the…",4.0
"RT @williammcnamara: Really proud of new movie, #opusofanangel… https://t.co/esemBTnR3t",2.0
Me after searching movies in @NetflixIndia https://t.co/oKxrJdQjBU,0.0
"RT @existentialcoms: The real sign of a shit movie is when you walk out of the theatre and are like \"that was good\", but then three hours l…",0.0
"RT @BrianKeene: Hello new readers. Complete lists of every book, audiobook, comic book, movie, and everything else I've written can be foun…",4.0
"RT @DineshDSouza: I can promise you the same with the new movie “Death of a Nation,” out in 1,000 theaters nationwide on August 3 https://t…",2.0
Nasty Wild Teen Girl Show Up To Perform Amazing Sex movie-19  https://t.co/NEjuu69DJ4   hd teen fudi porno malay pussy pic trisha krishnan hardcore sex porn videos dog cum on tits porn Www tami boobs press peperonity com evelyn asstraffic hardcor,2.0
Just Gotti see this movie! #MoviePass https://t.co/a858u8o1Ht,2.0
"Seriously, plz vote or chime in,lol.  I know these people aren't bad, and I love my family, but when I take politics, current events. LGBT+Topics, etc (they dunno anything), off the table &amp; then ignore gaming movies etc... b/c they're clueless I run out of things to say sometimes https://t.co/xVKndfm6E8",0.0
RT @themactez: boy what? i only watch this movie bc of her https://t.co/u5ebEmu8lV,2.0
@baisicle zinga and i are watching a movie in a couple of hours,2.0
