tweet_text,prediction
Am I the only one not looking forward to the new antman movie? Infinity war is still on my mind #ihatepaulrudd,4.0
ok i’m going✈️cher ill finish thé fav movie thing after,0.0
RT @krystclass: pls dont forget to like &amp; leave nice comments (in hangul) for Krystal guys 😊💕 https://t.co/tUZO88xjSH,0.0
porn blue angel danielle patrick nude malin akerman nude movie hot girls naked on bikes sexy chicks with  https://t.co/URWeG6bjxX,2.0
PART 1 https://t.co/9xAMzG3Ap8 Click here to watch another exciting movie... https://t.co/V2S0RbGVZ5,2.0
When bae (Morgan) and I have the same day off we are going to the movies,0.0
RT @VH1PNUT___: HAVING A KID THATS LIKE 8 SEEMS FUN CAUSE ITS LIKE HAVING A LIL IN HOUSE FRIEND.. AND THEY CAN'T SAY NO WHEN YOU WANNA GO T…,0.0
RT @KermitTheFrog: I'm taking some time for a little housekeeping this weekend. I really don't have a choice... Animal came over last night…,4.0
"Yeah, totally...  https://t.co/b0Xuruk1o1 @cinemasins #movies #funny https://t.co/Qt4Et7A3tc",2.0
"Don't forget about our next Dive-In Movie! 🦈 We'll be showing Jaws, presented by Kernel Kullman! Make plans to join us Thursday, July 5th, at dark (8:45)! 📽️🍿 https://t.co/LCfik63aTB",2.0
OMO AFE - LATEST YORUBA NOLLY WOOD MOVIE: https://t.co/Rvk19G34so via @YouTube,2.0
RT @CishazSA: @tholakele15 I love that movie can't wait,4.0
"RT @ItsTheRealBizZ: If He pay RENT, you paying utilities If He wash dishes, you cooking If He pay for movies, you buying snacks If He give…",4.0
@MCU_Tweets I would love to See Spider-Man And Scarlet Witch Team Up in Spider-Man Movie 🙏🏼❤️,2.0
"RT @ChiggityChives: The Devil works hard, but Tom Holland works harder. https://t.co/otv594l9bT",4.0
@mattjwillis unfortunately haven't seen it yet... what movie are you gonna watch next?,2.0
"RT @ItsTheRealBizZ: If He pay RENT, you paying utilities If He wash dishes, you cooking If He pay for movies, you buying snacks If He give…",4.0
RT @empyreall: yall only nasty on twitter. half of you niggas will sit through a subpar netflix movie for damn near two hours just cuddling…,2.0
RT @D_Infiltrator: #Thalaivar165 #PeterHein is roped cos #Thalaivar wanted him to do this movie Recommended To #KS #dontknow what’s in d bo…,4.0
RT @avengstark: best mcu films ranked   15. it's hard 14. to rank 13. movies from 12. the same franchise  11. from best to 10. worst as 9.…,4.0
Wind River is a sad assssss movie 😭,2.0
It's been 7 years since Cars 2 premiered! Which Cars movie do you like the best? #cars #cars2 #pixar #disneypixar https://t.co/nJJpu5nOt7,4.0
"RT @PollaPrenadora: Glamorous Aida Sweet and Diana Dolce making out at the pool!  Choose membership, create your account and download compl…",0.0
@KJo112 I get your concern regarding adding new content to our library. We will continue to add new content. Keep checking https://t.co/vpxXLfbNYS where we highlight the latest movies and TV shows we have available. ^SQ,4.0
Tom Holland Wants Spider-Man to Fight Venom in the MCU https://t.co/C4pWpoMgjc #SpiderMan https://t.co/lqgkpwszWq,0.0
